avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,9.0,2.0,2.0,11.0,11.0,11.0,e82f5abeb1eb9118382d5be61c346fcb75c3cf81,1.0,1491849092.0,1.0,no,tasks/main.yml,100.0,11.0,74.0,0.0,21.0,21.0,21.0,10.0,10.0,10.0,5.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,295.0,8.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.84,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl privat key file exist copi src ssl cert local privkey path dest ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local privkey data tag sslcert configur name copi ssl certif file exist copi src ssl cert local cert path dest ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local cert data tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac path item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.01
0.0,14.0,2.0,2.0,0.0,0.0,0.0,e82f5abeb1eb9118382d5be61c346fcb75c3cf81,0.0,1491849092.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,2.0,0.0,0.0,0.0,e82f5abeb1eb9118382d5be61c346fcb75c3cf81,1.0,1491849092.0,1.0,no,tasks/generate.yml,100.0,5.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,130.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.98,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node sha day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01
0.0,9.0,1.0,1.0,0.0,0.0,0.0,6bc3f732e9153d5cf3356512bc8158367f238da7,1.0,1515101887.0,1.0,no,tasks/main.yml,100.0,11.0,74.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,296.0,8.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.85,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl privat key file exist copi src ssl cert local privkey path dest ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local privkey data tag sslcert configur name copi ssl certif file exist copi src ssl cert local cert path dest ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local cert data tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac path item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam dsaparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01
0.0,14.0,1.0,1.0,0.0,0.0,0.0,6bc3f732e9153d5cf3356512bc8158367f238da7,0.0,1515101887.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,1.0,0.0,0.0,0.0,6bc3f732e9153d5cf3356512bc8158367f238da7,0.0,1515101887.0,0.0,no,tasks/generate.yml,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,130.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.98,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node sha day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,2.0,6.0,6.0,6.0,8155f212d3c62c0194494b246761457187ae9d1d,1.0,1523307324.0,1.0,no,tasks/main.yml,100.0,11.0,80.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,323.0,9.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.95,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl privat key file exist copi src ssl cert local privkey path dest ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local privkey data tag sslcert configur name copi ssl certif file exist copi src ssl cert local cert path dest ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local cert data tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac path item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam dsaparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur name combin key cert assembl dest ssl cert combin path src ssl cert path regexp ssl cert privkey path basenam ssl cert cert path basenam tag sslcert configur,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,0.1
0.0,14.0,2.0,2.0,0.0,0.0,0.0,8155f212d3c62c0194494b246761457187ae9d1d,0.0,1523307324.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,2.0,0.0,0.0,0.0,8155f212d3c62c0194494b246761457187ae9d1d,0.0,1523307324.0,0.0,no,tasks/generate.yml,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,130.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.98,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node sha day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,3.0,3.0,0.0,0.0,0.0,d963e1ba91e4e6106bbe7fdbc590aaa5e2b019c2,0.0,1533481199.0,0.0,no,tasks/main.yml,0.0,11.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,323.0,9.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.95,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl privat key file exist copi src ssl cert local privkey path dest ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local privkey data tag sslcert configur name copi ssl certif file exist copi src ssl cert local cert path dest ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local cert data tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac path item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam dsaparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur name combin key cert assembl dest ssl cert combin path src ssl cert path regexp ssl cert privkey path basenam ssl cert cert path basenam tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,3.0,3.0,0.0,0.0,0.0,d963e1ba91e4e6106bbe7fdbc590aaa5e2b019c2,0.0,1533481199.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,3.0,3.0,27.0,27.0,27.0,d963e1ba91e4e6106bbe7fdbc590aaa5e2b019c2,1.0,1533481199.0,1.0,no,tasks/generate.yml,100.0,7.0,39.0,0.0,33.0,33.0,33.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,176.0,7.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.82,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size arg creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener certif config file templat src path dest ssl cert conf path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req config ssl cert conf path new sha key ssl cert privkey path ssl cert csr path arg creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req config ssl cert conf path node sha day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens arg creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,0.0,-0.16
0.0,9.0,1.0,1.0,0.0,0.0,0.0,eab720908b31f3851d89b391462155dc973d882f,1.0,1540414477.0,1.0,no,tasks/main.yml,100.0,11.0,80.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,327.0,9.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.99,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl privat key file exist copi src ssl cert local privkey path dest ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local privkey data tag sslcert configur name copi ssl certif file exist copi src ssl cert local cert path dest ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac stat path ssl cert local cert data tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode forc ssl cert forc replac path item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam dsaparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur name combin key cert assembl dest ssl cert combin path src ssl cert path regexp ssl cert privkey path basenam regex escap ssl cert cert path basenam regex escap tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.04
0.0,14.0,1.0,1.0,0.0,0.0,0.0,eab720908b31f3851d89b391462155dc973d882f,0.0,1540414477.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,1.0,0.0,0.0,0.0,eab720908b31f3851d89b391462155dc973d882f,0.0,1540414477.0,0.0,no,tasks/generate.yml,0.0,7.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,176.0,7.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.82,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size arg creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener certif config file templat src path dest ssl cert conf path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req config ssl cert conf path new sha key ssl cert privkey path ssl cert csr path arg creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req config ssl cert conf path node sha day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens arg creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
